record_id,date,company,ticker,sector,provider,currency,share_price,market_cap,revenue,portfolio_value,ingestion_timestamp
89,2026-08-01,AMD,AMD,Technology,Provider_A,USD,102.58,1468768077101.0,404125056832.0,79983893.0,2026-09-08 22:03:45
7679,2026-08-01,AMD,AMD,Technology,Provider_A,USD,102.58,1468768077101.0,404125056832.0,79983893.0,2026-09-08 22:03:45
90,2026-08-01,AMD,AMD,Technology,Provider_B,USD,102.35,1465487526458.0,403222427795.0,79805246.0,2026-09-08 23:49:47
91,2026-08-01,AMD,AMD,Technology,Provider_C,USD,102.23,1463795114657.0,402756768154.0,79713083.0,2026-09-08 13:41:37
92,2026-08-01,AMD,AMD,Technology,Provider_D,USD,102.38,1465861735845.0,403325389857.0,79825624.0,2026-09-08 09:57:50
7686,2026-08-01,AMD,AMD,Technology,Provider_D,USD,102.38,1465861735845.0,403325389857.0,79825624.0,2026-09-08 09:57:50
181,2026-08-01,AT&T,T,Communication,Provider_A,USD,281.52,924058171733.0,384728499615.0,133042902.0,2026-09-08 23:30:26
182,2026-08-01,AT&T,T,Communication,Provider_B,USD,280.66,921222204179.0,383547754100.0,132634589.0,2026-09-08 13:06:18
183,2026-08-01,AT&T,T,Communication,Provider_C,USD,280.76,921565775574.0,383690798890.0,132684055.0,2026-09-08 21:50:06
184,2026-08-01,AT&T,T,Communication,Provider_D,USD,280.54,920844768015.0,383390609827.0,132580247.0,2026-09-08 19:20:19
117,2026-08-01,AbbVie Inc.,ABBV,Healthcare,Provider_A,USD,616.55,3917662417384.0,380456059776.0,775113321.0,2026-09-08 08:39:53
118,2026-08-01,AbbVie Inc.,ABBV,Healthcare,Provider_B,USD,615.83,3913087637611.0,380011789060.0,774208197.0,2026-09-08 11:56:01
119,2026-08-01,AbbVie Inc.,ABBV,Healthcare,Provider_C,USD,614.69,3905880865557.0,379311917605.0,772782330.0,2026-09-08 11:41:50
120,2026-08-01,AbbVie Inc.,ABBV,Healthcare,Provider_D,USD,616.3,4707662882109.547,380301831037.0,774799107.0,2026-09-08 01:44:11
77,2026-08-01,Adobe Inc.,ADBE,Technology,Provider_A,USD,35.86,2378684678307.0,436981881759.0,178581302.0,2026-09-08 07:57:41
78,2026-08-01,Adobe Inc.,ADBE,Technology,Provider_B,USD,35.89,2380274487560.0,437273941420.0,178700658.0,2026-09-08 05:38:02
79,2026-08-01,Adobe Inc.,ADBE,Technology,Provider_C,USD,35.83,2376087726632.0,436504802624.0,178386334.0,2026-09-08 15:20:14
80,2026-08-01,Adobe Inc.,ADBE,Technology,Provider_D,USD,35.96,2384883748547.0,438120696586.0,179046701.0,2026-09-08 11:57:41
